metric,value,unit,date,period,form,fiscal_year,filed_date
EarningsPerShareDiluted,1.65,USD/shares,2025-03-29,Q2,10-Q,2025,2025-05-02
CostOfGoodsAndServicesSold,116517000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
OperatingIncomeLoss,29589000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
RevenueFromContractWithCustomerExcludingAssessedTax,95359000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
RevenueFromContractWithCustomerExcludingAssessedTax,219659000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
CashAndCashEquivalentsAtCarryingValue,28162000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
GrossProfit,44867000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
EarningsPerShareBasic,1.65,USD/shares,2025-03-29,Q2,10-Q,2025,2025-05-02
GrossProfit,103142000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
NetIncomeLoss,61110000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
NetIncomeLoss,24780000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
StockholdersEquity,66796000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
Assets,331233000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
EarningsPerShareBasic,4.06,USD/shares,2025-03-29,Q2,10-Q,2025,2025-05-02
AssetsCurrent,118674000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
CostOfGoodsAndServicesSold,50492000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
OperatingIncomeLoss,72421000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
EarningsPerShareDiluted,4.05,USD/shares,2025-03-29,Q2,10-Q,2025,2025-05-02
Liabilities,264437000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
LiabilitiesCurrent,144571000000.0,USD,2025-03-29,Q2,10-Q,2025,2025-05-02
StockholdersEquity,66758000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
Assets,344085000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
NetIncomeLoss,36330000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
GrossProfit,58275000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
LiabilitiesCurrent,144365000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
CashAndCashEquivalentsAtCarryingValue,30299000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
OperatingIncomeLoss,42832000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,124300000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
EarningsPerShareDiluted,2.4,USD/shares,2024-12-28,Q1,10-Q,2025,2025-01-31
EarningsPerShareBasic,2.41,USD/shares,2024-12-28,Q1,10-Q,2025,2025-01-31
CostOfGoodsAndServicesSold,66025000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
AssetsCurrent,133240000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
Liabilities,277327000000.0,USD,2024-12-28,Q1,10-Q,2025,2025-01-31
StockholdersEquity,66758000000.0,USD,2024-12-28,Q2,10-Q,2025,2025-05-02
CashAndCashEquivalentsAtCarryingValue,29943000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
LiabilitiesCurrent,176392000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
EarningsPerShareDiluted,6.08,USD/shares,2024-09-28,FY,10-K,2024,2024-11-01
RevenueFromContractWithCustomerExcludingAssessedTax,391035000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
OperatingIncomeLoss,123216000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
CashAndCashEquivalentsAtCarryingValue,29943000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
CashAndCashEquivalentsAtCarryingValue,29943000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
NetIncomeLoss,93736000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
LiabilitiesCurrent,176392000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
LiabilitiesCurrent,176392000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
Liabilities,308030000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
Liabilities,308030000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
StockholdersEquity,56950000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
Liabilities,308030000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
AssetsCurrent,152987000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
AssetsCurrent,152987000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
AssetsCurrent,152987000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
CostOfGoodsAndServicesSold,210352000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
Assets,364980000000.0,USD,2024-09-28,Q2,10-Q,2025,2025-05-02
Assets,364980000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
Assets,364980000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
GrossProfit,180683000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
StockholdersEquity,56950000000.0,USD,2024-09-28,FY,10-K,2024,2024-11-01
StockholdersEquity,56950000000.0,USD,2024-09-28,Q1,10-Q,2025,2025-01-31
EarningsPerShareBasic,6.11,USD/shares,2024-09-28,FY,10-K,2024,2024-11-01
EarningsPerShareBasic,1.4,USD/shares,2024-06-29,Q3,10-Q,2024,2024-08-02
EarningsPerShareBasic,5.13,USD/shares,2024-06-29,Q3,10-Q,2024,2024-08-02
CostOfGoodsAndServicesSold,159301000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
CostOfGoodsAndServicesSold,46099000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
GrossProfit,136804000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
OperatingIncomeLoss,93625000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
OperatingIncomeLoss,25352000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
GrossProfit,39678000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
RevenueFromContractWithCustomerExcludingAssessedTax,296105000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
CashAndCashEquivalentsAtCarryingValue,25565000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
EarningsPerShareDiluted,1.4,USD/shares,2024-06-29,Q3,10-Q,2024,2024-08-02
EarningsPerShareDiluted,5.11,USD/shares,2024-06-29,Q3,10-Q,2024,2024-08-02
LiabilitiesCurrent,131624000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
RevenueFromContractWithCustomerExcludingAssessedTax,85777000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
Liabilities,264904000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
Assets,331612000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
NetIncomeLoss,79000000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
NetIncomeLoss,21448000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
StockholdersEquity,66708000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
AssetsCurrent,125435000000.0,USD,2024-06-29,Q3,10-Q,2024,2024-08-02
AssetsCurrent,128416000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareBasic,1.53,USD/shares,2024-03-30,Q2,10-Q,2025,2025-05-02
StockholdersEquity,74194000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
Assets,337411000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
Liabilities,263217000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareBasic,3.72,USD/shares,2024-03-30,Q2,10-Q,2025,2025-05-02
LiabilitiesCurrent,123822000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
CostOfGoodsAndServicesSold,48482000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
CostOfGoodsAndServicesSold,48482000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareBasic,1.53,USD/shares,2024-03-30,Q2,10-Q,2024,2024-05-03
GrossProfit,97126000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareBasic,3.72,USD/shares,2024-03-30,Q2,10-Q,2024,2024-05-03
CashAndCashEquivalentsAtCarryingValue,32695000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
GrossProfit,97126000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
GrossProfit,42271000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
GrossProfit,42271000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
StockholdersEquity,74194000000.0,USD,2024-03-30,Q3,10-Q,2024,2024-08-02
StockholdersEquity,74194000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
NetIncomeLoss,23636000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
NetIncomeLoss,23636000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
CostOfGoodsAndServicesSold,113202000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
NetIncomeLoss,57552000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
OperatingIncomeLoss,68273000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
OperatingIncomeLoss,68273000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
OperatingIncomeLoss,27900000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
NetIncomeLoss,57552000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
CostOfGoodsAndServicesSold,113202000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
OperatingIncomeLoss,27900000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
RevenueFromContractWithCustomerExcludingAssessedTax,210328000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareDiluted,1.53,USD/shares,2024-03-30,Q2,10-Q,2025,2025-05-02
EarningsPerShareDiluted,1.53,USD/shares,2024-03-30,Q2,10-Q,2024,2024-05-03
EarningsPerShareDiluted,3.71,USD/shares,2024-03-30,Q2,10-Q,2025,2025-05-02
EarningsPerShareDiluted,3.71,USD/shares,2024-03-30,Q2,10-Q,2024,2024-05-03
RevenueFromContractWithCustomerExcludingAssessedTax,90753000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
RevenueFromContractWithCustomerExcludingAssessedTax,90753000000.0,USD,2024-03-30,Q2,10-Q,2024,2024-05-03
RevenueFromContractWithCustomerExcludingAssessedTax,210328000000.0,USD,2024-03-30,Q2,10-Q,2025,2025-05-02
CostOfGoodsAndServicesSold,64720000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
AssetsCurrent,143692000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
GrossProfit,54855000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
NetIncomeLoss,33916000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
StockholdersEquity,74100000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
RevenueFromContractWithCustomerExcludingAssessedTax,119575000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,119575000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
NetIncomeLoss,33916000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
StockholdersEquity,74100000000.0,USD,2023-12-30,Q2,10-Q,2024,2024-05-03
StockholdersEquity,74100000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
StockholdersEquity,74100000000.0,USD,2023-12-30,Q2,10-Q,2025,2025-05-02
Assets,353514000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
GrossProfit,54855000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
CostOfGoodsAndServicesSold,64720000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
CashAndCashEquivalentsAtCarryingValue,40760000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
EarningsPerShareBasic,2.19,USD/shares,2023-12-30,Q1,10-Q,2024,2024-02-02
EarningsPerShareBasic,2.19,USD/shares,2023-12-30,Q1,10-Q,2025,2025-01-31
EarningsPerShareDiluted,2.18,USD/shares,2023-12-30,Q1,10-Q,2025,2025-01-31
Liabilities,279414000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
EarningsPerShareDiluted,2.18,USD/shares,2023-12-30,Q1,10-Q,2024,2024-02-02
OperatingIncomeLoss,40373000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
LiabilitiesCurrent,133973000000.0,USD,2023-12-30,Q1,10-Q,2024,2024-02-02
OperatingIncomeLoss,40373000000.0,USD,2023-12-30,Q1,10-Q,2025,2025-01-31
RevenueFromContractWithCustomerExcludingAssessedTax,383285000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
Assets,352583000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
Assets,352583000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
Assets,352583000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
RevenueFromContractWithCustomerExcludingAssessedTax,383285000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
NetIncomeLoss,96995000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
CashAndCashEquivalentsAtCarryingValue,29965000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
CashAndCashEquivalentsAtCarryingValue,29965000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
CashAndCashEquivalentsAtCarryingValue,29965000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
CashAndCashEquivalentsAtCarryingValue,29965000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
CashAndCashEquivalentsAtCarryingValue,29965000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
Assets,352583000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
StockholdersEquity,62146000000.0,USD,2023-09-30,Q1,10-Q,2025,2025-01-31
Assets,352583000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
StockholdersEquity,62146000000.0,USD,2023-09-30,Q2,10-Q,2025,2025-05-02
EarningsPerShareDiluted,6.13,USD/shares,2023-09-30,FY,10-K,2024,2024-11-01
LiabilitiesCurrent,145308000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
LiabilitiesCurrent,145308000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
LiabilitiesCurrent,145308000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
LiabilitiesCurrent,145308000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
LiabilitiesCurrent,145308000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
EarningsPerShareDiluted,6.13,USD/shares,2023-09-30,FY,10-K,2023,2023-11-03
Liabilities,290437000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
Liabilities,290437000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
Liabilities,290437000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
Liabilities,290437000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
Liabilities,290437000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
AssetsCurrent,143566000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
AssetsCurrent,143566000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
AssetsCurrent,143566000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
AssetsCurrent,143566000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
AssetsCurrent,143566000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
StockholdersEquity,62146000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
StockholdersEquity,62146000000.0,USD,2023-09-30,Q1,10-Q,2024,2024-02-02
StockholdersEquity,62146000000.0,USD,2023-09-30,Q2,10-Q,2024,2024-05-03
StockholdersEquity,62146000000.0,USD,2023-09-30,Q3,10-Q,2024,2024-08-02
StockholdersEquity,62146000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
OperatingIncomeLoss,114301000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
OperatingIncomeLoss,114301000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
NetIncomeLoss,96995000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
GrossProfit,169148000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
CostOfGoodsAndServicesSold,214137000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
CostOfGoodsAndServicesSold,214137000000.0,USD,2023-09-30,FY,10-K,2023,2023-11-03
GrossProfit,169148000000.0,USD,2023-09-30,FY,10-K,2024,2024-11-01
EarningsPerShareBasic,6.16,USD/shares,2023-09-30,FY,10-K,2023,2023-11-03
EarningsPerShareBasic,6.16,USD/shares,2023-09-30,FY,10-K,2024,2024-11-01
OperatingIncomeLoss,22998000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
EarningsPerShareDiluted,1.26,USD/shares,2023-07-01,Q3,10-Q,2023,2023-08-04
EarningsPerShareDiluted,4.67,USD/shares,2023-07-01,Q3,10-Q,2024,2024-08-02
EarningsPerShareDiluted,4.67,USD/shares,2023-07-01,Q3,10-Q,2023,2023-08-04
StockholdersEquity,60274000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
NetIncomeLoss,19881000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
OperatingIncomeLoss,87332000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
OperatingIncomeLoss,87332000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
OperatingIncomeLoss,22998000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
Assets,335038000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
NetIncomeLoss,19881000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
EarningsPerShareDiluted,1.26,USD/shares,2023-07-01,Q3,10-Q,2024,2024-08-02
NetIncomeLoss,74039000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
EarningsPerShareBasic,1.27,USD/shares,2023-07-01,Q3,10-Q,2024,2024-08-02
EarningsPerShareBasic,1.27,USD/shares,2023-07-01,Q3,10-Q,2023,2023-08-04
Liabilities,274764000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
AssetsCurrent,122659000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
EarningsPerShareBasic,4.69,USD/shares,2023-07-01,Q3,10-Q,2023,2023-08-04
EarningsPerShareBasic,4.69,USD/shares,2023-07-01,Q3,10-Q,2024,2024-08-02
NetIncomeLoss,74039000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
StockholdersEquity,60274000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
GrossProfit,36413000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
RevenueFromContractWithCustomerExcludingAssessedTax,81797000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
CostOfGoodsAndServicesSold,45384000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
CostOfGoodsAndServicesSold,45384000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
CostOfGoodsAndServicesSold,165066000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
CostOfGoodsAndServicesSold,165066000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
GrossProfit,36413000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
RevenueFromContractWithCustomerExcludingAssessedTax,293787000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
RevenueFromContractWithCustomerExcludingAssessedTax,293787000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
LiabilitiesCurrent,124963000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
CashAndCashEquivalentsAtCarryingValue,28408000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
RevenueFromContractWithCustomerExcludingAssessedTax,81797000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
GrossProfit,128721000000.0,USD,2023-07-01,Q3,10-Q,2024,2024-08-02
GrossProfit,128721000000.0,USD,2023-07-01,Q3,10-Q,2023,2023-08-04
AssetsCurrent,112913000000.0,USD,2023-04-01,Q2,10-Q,2023,2023-05-05
StockholdersEquity,62158000000.0,USD,2023-04-01,Q2,10-Q,2023,2023-05-05
StockholdersEquity,62158000000.0,USD,2023-04-01,Q3,10-Q,2023,2023-08-04
StockholdersEquity,62158000000.0,USD,2023-04-01,Q2,10-Q,2024,2024-05-03
EarningsPerShareDiluted,3.41,USD/shares,2023-04-01,Q2,10-Q,2024,2024-05-03
EarningsPerShareDiluted,3.41,USD/shares,2023-04-01,Q2,10-Q,2023,2023-05-05
EarningsPerShareBasic,1.53,USD/shares,2023-04-01,Q2,10-Q,2024,2024-05-03
EarningsPerShareBasic,1.53,USD/shares,2023-04-01,Q2,10-Q,2023,2023-05-05
